date,propInfectedMedian,propInfectedLB,propInfectedUB
2020-06-06,4.077729887465465,3.7232425012254695,4.447253473721881
2020-06-07,4.213710523729331,3.8474019963988955,4.595556665368365
2020-06-08,4.331109955037885,3.9545955978219154,4.72359482461595
2020-06-09,4.473847393103681,4.08492450890458,4.879267118952942
2020-06-10,4.581111621709338,4.182863986463742,4.996251624164764
2020-06-11,4.684152849188789,4.27694757907963,5.10863044019502
2020-06-12,4.793106278244929,4.376429410616102,5.227457221079469
2020-06-13,4.900370506850586,4.474368888175264,5.344441726291292
2020-06-14,5.03550654288921,4.597757206360035,5.491823780101462
2020-06-15,5.173176379603558,4.723459055510771,5.6419692474205725
2020-06-16,5.296488012488802,4.836050895854375,5.776455371522353
2020-06-17,5.408819842445908,4.938617435345465,5.898966703752056
2020-06-18,5.522840872853497,5.042726328813866,6.023320311654388
2020-06-19,5.619125298531015,5.130640505520516,6.128330024994133
2020-06-20,5.716254324433776,5.21932585921582,6.234260876170193
2020-06-21,5.8083157489850885,5.303384150979196,6.334664900328372
2020-06-22,5.915579977590746,5.401323628538357,6.451649405540194
2020-06-23,6.012709003493507,5.490008982233662,6.557580256716253
2020-06-24,6.119128631873923,5.587177282804169,6.6736436240917625
2020-06-25,6.204433254623304,5.6650661586583055,6.766678545559433
2020-06-26,6.296494679174616,5.749124450421681,6.867082569717611
2020-06-27,6.391934504626894,5.836267450139676,6.971171145221043
2020-06-28,6.476394527151034,5.913385149005157,7.0632849288524
2020-06-29,6.552408547422759,5.982791077984092,7.14618733412062
2020-06-30,6.650382173550762,6.07224760866805,7.2530393231329935
2020-07-01,6.755957201705936,6.168644732249903,7.368181552672189
2020-07-02,6.840417224230076,6.245762431115385,7.460295336303545
2020-07-03,6.924032646528974,6.322108952992212,7.551487982098588
2020-07-04,7.006803468602631,6.397684297880384,7.641759490057317
2020-07-05,7.091263491126771,6.4748019967458665,7.7338732736886735
2020-07-06,7.170655912299462,6.54729263367942,7.820460230302149
2020-07-07,7.2610281364002915,6.629808571465485,7.9190219787877
2020-07-08,7.343798958473949,6.705383916353657,8.00929348674643
2020-07-09,7.427414380772847,6.781730438230484,8.100486132541471
2020-07-10,7.485691796314503,6.834941650447667,8.164044643247108
2020-07-11,7.554949014784298,6.898178163517363,8.23957794582482
2020-07-12,7.636875236632713,6.97298233141688,8.328928315947236
2020-07-13,7.684172849246232,7.01616824278155,8.380512034780795
2020-07-14,7.7475178661393365,7.074006516930662,8.449597372504313
2020-07-15,7.802416880780028,7.124133021193225,8.509471331864694
2020-07-16,7.862383496772166,7.178886587387717,8.574872118242956
2020-07-17,7.928262314340995,7.239038392502793,8.646720869475415
2020-07-18,7.994141131909824,7.299190197617869,8.718569620707871
2020-07-19,8.04566174564955,7.346231993925813,8.774759028722999
2020-07-20,8.103939161191207,7.399443206142995,8.838317539428635
2020-07-21,8.164750377408586,7.454967949326142,8.904639463643212
2020-07-22,8.212892590247346,7.498925037679467,8.957144320313084
2020-07-23,8.278771407816174,7.559076842794543,9.028993071545543
2020-07-24,8.337048823357831,7.612288055011725,9.092551582251179
